Parcel_ID|Municipality|Property_Address|Alternate_ID|School_District|Neighborhood_Code|Tax_Code|Recording_Date|Owner_Code|Sale_Price|State_Code|Deed_Book|Use_Code|Deed_Page|Homestead|Abatement|Farmstead|Lot_Area|Land_Value_2013_Mkt|Land_Value_2013_Reval|Building_Value_2013_Mkt|Building_Value_2013_Reval|Total_Value_2013_Mkt|Total_Value_2013_Reval
0099-S-00294-0000-00|926 MT. LEBANON|338 BOWER HILL RD||Mt Lebanon|92613|Taxable|10/21/2002|Regular|189900|Residential|11484|SINGLE FAMILY|235|Yes|No|No|10,541 SQFT|30000|65800|147000|139500|177000|205300
0099-S-00296-0000-00|926 MT. LEBANON|340 BOWER HILL RD||Mt Lebanon|92613|Taxable|8/15/1994|Regular|1|Residential|9282|SINGLE FAMILY|149|Yes|No|No|7,908 SQFT|28600|65400|92600|89800|121200|155200
0099-S-00298-0000-00|926 MT. LEBANON|346 BOWER HILL RD||Mt Lebanon|92613|Taxable|8/5/1991|Regular|125000|Residential|8537|SINGLE FAMILY|517|Yes|No|No|5,157 SQFT|27100|65000|123300|189200|150400|254200
0099-S-00302-0000-00|926 MT. LEBANON|354 MARLIN DR||Mt Lebanon|92613|Taxable|4/22/1997|Regular|115000|Residential|9926|SINGLE FAMILY|591|Yes|No|No|5,210 SQFT|30200|65000|107800|112600|138000|177600
0099-S-00304-0000-00|926 MT. LEBANON|358 MARLIN DR||Mt Lebanon|92613|Taxable|8/2/2011|Regular|162000|Residential|14649|SINGLE FAMILY|321|Yes|No|No|9,896 SQFT|28000|65700|76500|78100|104500|143800
0099-S-00308-0000-00|926 MT. LEBANON|335 MCCULLY ST||Mt Lebanon|92613|Taxable|9/28/2011|Regular|120900|Residential|14699|SINGLE FAMILY|541|Yes|No|No|6,855 SQFT|26500|65300|89900|101400|116400|166700
0099-S-00310-0000-00|926 MT. LEBANON|331 MCCULLY ST||Mt Lebanon|92613|Taxable|1/19/2011|Regular|1|Residential|14484|SINGLE FAMILY|369|No|No|No|6,780 SQFT|31100|65300|90600|116500|121700|181800
0099-S-00312-0000-00|926 MT. LEBANON|327 MCCULLY ST||Mt Lebanon|92613|Taxable|9/6/1962|Regular|0|Residential||SINGLE FAMILY|0|Yes|No|No|6,277 SQFT|30800|65200|58200|107000|89000|172200
0099-S-00318-0000-00|926 MT. LEBANON|324 -326 MCCULLY ST||Mt Lebanon|92613|Taxable|4/29/2004|Regular|1|Residential|12026|TWO FAMILY|57|Yes|No|No|8,625 SQFT|32200|65500|157200|207500|189400|273000
0099-S-00320-0000-00|926 MT. LEBANON|330 MCCULLY ST||Mt Lebanon|92613|Taxable|10/8/2008|Regular|184500|Residential|13756|SINGLE FAMILY|366|Yes|No|No|6,302 SQFT|30800|65200|63400|104600|94200|169800
