# Source: Pittsburgh Neighborhood and Community Information System at the University Center for Social and Urban Research
# http://www.ucsur.pitt.edu/thepub.php?pl=370
# http://surveyweb1.ucsur.pitt.edu/files/thepub/000089/Sales1011.zip
#
# Transformations:
# (1) removed non-Mt. Lebanon properties
# (2) removed columns that didn't contain quantitative or categorical info
#     (e.g., personally identifying information)
"MAPBLOLOT","PROPERTYZIP","SALEDATE","SALEPRICE","MUNICODE","X","Y","YEARBUILT","TOTALROOMS","BEDROOMS","FULLBATHS","HALFBATHS","STYLE_DESC","STORIES","FINISHEDLI"
"0098S00264000000",15216,"18-Aug-11",0,926,1332171.68788986,391665.709542483,1960,7,2,1,1,"RANCH",1,1210
"0098S00304000000",15216,"14-Dec-11",182000,926,1332065.25045677,391300.202248663,1960,8,4,2,1,"SPLIT LEVEL",1,1263
"0099A00188000000",15243,"18-Jul-11",1,926,1323999.56291665,394189.183879986,1957,7,3,2,1,"CAPE COD",1,2298
"0099C00220000000",15216,"24-Oct-11",189000,926,1326818.87537676,394383.746760845,1948,6,3,1,1,"OLD STYLE",2,1370
"0099C00240000000",15216,"29-Dec-11",430000,926,1326682.62533095,394904.927651554,1956,8,4,3,1,"SPLIT LEVEL",1,2068
"0099C00263000000",15216,"21-Jun-11",222600,926,1326849.47965153,394141.689004302,1955,10,4,2,1,"RANCH",1,2257
"0099C00272000000",15216,"03-Aug-11",307000,926,1326584.37545238,394011.024423361,1953,8,3,3,0,"CONVENTIONAL",2,2138
"0099D00034000000",15216,"11-Jul-11",201000,926,1327553.37535271,394833.652853146,1934,6,3,1,1,"OLD STYLE",2,1564
"0099D00036000000",15216,"21-Mar-11",176000,926,1327506.12532598,394804.655369237,1929,8,4,2,1,"OLD STYLE",2,1776
"0099D00044000000",15216,"01-Jul-11",315000,926,1327323.18796961,394703.035011664,1937,8,3,3,1,"OLD STYLE",2,2056
"0099D00050000000",15216,"27-May-11",195800,926,1327193.93788826,394631.214272842,1937,7,3,2,0,"OLD STYLE",2,2016
"0099D00094000000",15216,"06-Apr-11",229900,926,1327611.43790853,394726.435685232,1930,6,3,2,0,"OLD STYLE",2,1818
"0099D00110000000",15216,"24-Mar-11",1,926,1328011.56286636,394750.419341698,1926,6,3,1,0,"OLD STYLE",2,1516
"0099D00178000000",15216,"03-Feb-11",127000,926,1327388.57126623,394275.485130414,1928,6,2,1,1,"BUNGALOW",1.5,2056
"0099D00184000000",15216,"15-Jun-11",202000,926,1327524.25045039,394349.211036414,1950,6,3,1,1,"CAPE COD",1,1727
"0099D00274000000",15216,"28-Nov-11",307500,926,1327621.8754551,394069.055948824,1929,8,3,1,2,"OLD STYLE",2,1892
"0099E00043000000",15243,"16-Jun-11",455000,926,1324166.87541987,393427.433041543,1936,12,5,3,1,"OLD STYLE",2,4057
"0099E00070000000",15243,"16-Sep-11",0,926,1323528.6254158,393312.321846947,1936,11,5,4,2,"OLD STYLE",2,3399
"0099E00184000000",15243,"12-Oct-11",329600,926,1323804.9378781,394108.092724025,1957,7,3,2,0,"CAPE COD",1.5,1963
"0099E00220000000",15243,"24-May-11",442000,926,1323713.12544172,393819.761233449,1957,10,4,3,2,"CONVENTIONAL",2,2873
"0099F00122000000",15243,"02-Feb-11",465000,926,1325048.68786207,393745.949897006,1941,8,5,2,1,"OLD STYLE",2,2715
"0099F00126000000",15243,"24-Jun-11",383000,926,1325133.06280591,393688.878470302,1940,8,3,2,2,"OLD STYLE",2,1697
"0099F00218000000",15243,"11-Apr-11",402000,926,1324675.06283203,393471.716856733,1940,9,3,3,1,"OLD STYLE",2,2640
"0099F00230000000",15243,"04-Nov-11",1,926,1324927.93786916,393406.386311725,1938,7,3,2,1,"OLD STYLE",2,1728
"0099F00244000000",15243,"11-Jul-11",650000,926,1325222.56289865,393222.778699592,1920,7,3,3,1,"CONVENTIONAL",2,2684
"0099G00203000000",15216,"08-Mar-11",200000,926,1326846.00037235,393373.131268427,1958,7,4,2,0,"SPLIT LEVEL",2,1982
"0099G00253000000",15216,"31-May-11",216000,926,1326848.87533525,393726.962613419,1955,6,3,1,1,"CONVENTIONAL",2,1764
"0099H00026000000",15216,"14-Sep-11",252000,926,1327150.1838195,393762.338000029,1929,6,3,2,0,"OLD STYLE",2,1999
"0099H00107000000",15216,"18-Apr-11",1,926,1327434.93799436,393241.436964378,1940,5,2,1,0,"OLD STYLE",1,1285
"0099H00124000000",15216,"14-Dec-11",137000,926,1328045.75037196,393268.972045586,1939,6,3,1,0,"OLD STYLE",2,1444
"0099H00178000000",15216,"15-Dec-11",189900,926,1327814.37539881,393478.761039466,1928,6,3,1,1,"OLD STYLE",2,1485
"0099H00184000000",15216,"30-Sep-11",1,926,1327681.06295843,393405.84008041,1926,7,3,1,0,"OLD STYLE",2,1797
"0099H00196000000",15216,"01-Dec-11",1,926,1327482.68790083,393443.293919355,1930,6,3,2,1,"OLD STYLE",2,1564
"0099H00198000000",15216,"04-Oct-11",286500,926,1327530.00037616,393470.116562873,1929,8,3,1,2,"OLD STYLE",2,1910
"0099H00268000000",15216,"28-Jan-11",143000,926,1327561.93798672,393930.962020829,1953,6,3,2,1,"CAPE COD",1.5,2097
"0099H00276000000",15216,"01-Aug-11",152500,926,1327379.5628617,393937.643924087,1924,7,4,1,0,"OLD STYLE",2,1997
"0099J00078000000",15243,"08-Aug-11",690000,926,1323600.68780355,392888.579293936,1940,10,5,2,2,"COLONIAL",2,4235
"0099J00146000000",15243,"02-Sep-11",420000,926,1324070.625448,392735.642865777,1956,8,3,2,1,"CONVENTIONAL",1,2842
"0099J00188000000",15243,"19-Oct-11",175000,926,1323466.75029537,392347.445202708,1958,9,3,3,0,"SPLIT LEVEL",1,2227
"0099J00196000000",15243,"12-Dec-11",660000,926,1323847.4379324,392261.044558138,1956,10,5,3,2,"CONVENTIONAL",2,4653
"0099J00222000000",15243,"12-Sep-11",660000,926,1324311.06283793,392405.284145996,1956,10,4,3,2,"COLONIAL",2,3527
"0099K00068000000",15243,"19-Oct-11",720000,926,1325098.75040311,393033.792362377,1950,8,3,3,1,"CONVENTIONAL",1,4620
"0099K00130000000",15243,"28-Jun-11",580000,926,1324689.56293155,392812.257116482,1937,9,4,2,2,"COLONIAL",2,3416
"0099L00100000000",15243,"13-Jun-11",345000,926,1326230.68364704,392337.922082096,1941,8,3,2,1,"OLD STYLE",2,2620
"0099L00116000000",15243,"29-Dec-11",349900,926,1326443.43788275,392268.849178627,1940,6,3,2,0,"OLD STYLE",2,2336
"0099L00124000000",15216,"13-Dec-11",200000,926,1326797.00033027,392262.37498486,1931,6,3,1,0,"OLD STYLE",2,1790
"0099L00204000000",15243,"22-Feb-11",135000,926,1326351.00037855,392741.979847193,1954,5,2,1,1,"RANCH",1,1302
"0099L00222000000",15216,"19-Sep-11",1,926,1326058.25035858,392899.92952098,1940,8,4,2,2,"OLD STYLE",2,2748
"0099L00236000000",15216,"12-Dec-11",1,926,1326423.56293693,392822.029740602,1928,8,4,3,1,"OLD STYLE",2,3017
