PIN,MAPBLOCKLO,PROPERTYHO,PROPERTY_1,PROPERTYZI,FAIRMARKET,FAIRMARK_1,TAXDESC,OWNERDESC,STATEDESC,USEDESC,LOTAREA
0097F00185000000,97-F-185,0,ELWYN RD,15243,813000,687000,Exempt,Corporation,Other,"CHURCHES, PUBLIC WORSHIP",356016
0097E00289000000,97-E-289,1091,MISSISSIPPI AVE,15216,50000,30000,Taxable,Regular,Residential,SINGLE FAMILY,6510
0097E00295000000,97-E-295,1096,MISSISSIPPI AVE,15216,93600,36800,Taxable,Regular,Residential,SINGLE FAMILY,8460
0097E00285000000,97-E-285,1085,MISSISSIPPI AVE,15216,65700,36000,Taxable,Regular,Residential,SINGLE FAMILY,6510
0097E00287000000,97-E-287,1087,MISSISSIPPI AVE,15216,55700,36000,Taxable,Regular,Residential,SINGLE FAMILY,6510
0097E00301000000,97-E-301,1084,MISSISSIPPI AVE,15216,69900,36800,Taxable,Regular,Residential,SINGLE FAMILY,8585
0097E00293000000,97-E-293,1099,MISSISSIPPI AVE,15216,12300,37700,Taxable,Regular,Residential,SINGLE FAMILY,9809
0097E00303000000,97-E-303,1080,MISSISSIPPI AVE,15216,56800,22000,Taxable,Regular,Residential,SINGLE FAMILY,8024
0097E00309000000,97-E-309,0,ILLINOIS AVE,15216,0,36300,Taxable,Corporation,Residential,VACANT LAND,7380
0097E00310000000,97-E-310,0,ILLINOIS AVE,15216,0,6200,Taxable,Regular,Residential,VACANT LAND,7711
0097E00331000000,97-E-331,993,MCNEILLY RD,15226,0,24300,Taxable,Regular,Residential,VACANT LAND,10204
0097E00329000000,97-E-329,995,MCNEILLY RD,15226,97500,27400,Taxable,Regular,Residential,SINGLE FAMILY,10259
0097E00350000000,97-E-350,0,MCNEILLY RD,15226,53700,701300,Exempt,Corporation,Government,MUNICIPAL GOVERNMENT,386050
0097E00291000000,97-E-291,1095,MISSISSIPPI AVE,15216,98100,36000,Taxable,Regular,Residential,SINGLE FAMILY,6510
0097E00307000000,97-E-307,1072,MISSISSIPPI AVE,15216,64800,36500,Taxable,Regular,Residential,SINGLE FAMILY,7711
0097E00305000000,97-E-305,1076,MISSISSIPPI AVE,15216,73200,36300,Taxable,Regular,Residential,SINGLE FAMILY,7401
0097E00334000000,97-E-334,997,MCNEILLY RD,15226,74900,37100,Taxable,Regular,Residential,SINGLE FAMILY,15385
0097E00297000001,97-E-297-0-1,1092,MISSISSIPPI AVE,15216,76600,37400,Taxable,Regular,Residential,SINGLE FAMILY,9525
0097E00275000000,97-E-275,0,MISSISSIPPI AVE,15216,3600,280700,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,326264
0097E00299000000,97-E-299,1088,MISSISSIPPI AVE,15216,70000,20000,Taxable,Regular,Residential,SINGLE FAMILY,9144
0097F00210000000,97-F-210,0,MCNEILLY RD,15226,0,208800,Taxable,Corporation,Industrial,VACANT COMMERCIAL LAND,206213
0097F00250000000,97-F-250,0,DORCHESTER AVE,15226,208800,212300,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,91040
0097F00300000000,97-F-300,0,MCNEILLY RD,15226,0,10600,Taxable,Corporation,Commercial,VACANT COMMERCIAL LAND,34630
0097E00325000000,97-E-325,991,MCNEILLY RD,15226,65000,24500,Taxable,Regular,Residential,SINGLE FAMILY,21245
0097J00010000000,97-J-10,1075,MISSISSIPPI AVE,15216,104200,30600,Taxable,Regular,Residential,SINGLE FAMILY,6510
0097J00040000000,97-J-40,1064,MISSISSIPPI AVE,15216,86300,39400,Taxable,Regular,Residential,SINGLE FAMILY,11934
0097J00066000000,97-J-66,109,MORTON LN,15226,83400,34000,Taxable,Regular,Residential,SINGLE FAMILY,1489
0097J00006000000,97-J-6,1068,MISSISSIPPI AVE,15216,56900,37200,Exempt,Corporation,Residential,SINGLE FAMILY,9217
0097J00036000000,97-J-36,1056,MISSISSIPPI AVE,15216,69600,40900,Taxable,Regular,Residential,SINGLE FAMILY,13895
0097J00068000000,97-J-68,107,MORTON LN,15226,54900,28100,Taxable,Regular,Residential,SINGLE FAMILY,11500
0097J00074000000,97-J-74,985,MCNEILLY RD,15243,47900,28300,Taxable,Regular,Residential,SINGLE FAMILY,11924
0097J00018000000,97-J-18,1065,MISSISSIPPI AVE,15216,72400,36200,Taxable,Regular,Residential,SINGLE FAMILY,7049
0097J00044000000,97-J-44,926,ILLINOIS AVE,15216,130000,26000,Taxable,Regular,Residential,SINGLE FAMILY,8742
0097J00020000000,97-J-20,1061,MISSISSIPPI AVE,15216,87900,36000,Taxable,Regular,Residential,SINGLE FAMILY,6547
0097J00022000000,97-J-22,1057,MISSISSIPPI AVE,15216,78100,36100,Taxable,Regular,Residential,SINGLE FAMILY,6678
0097J00042000000,97-J-42,922,ILLINOIS AVE,15216,82200,37800,Taxable,Regular,Residential,SINGLE FAMILY,9984
0097J00014000000,97-J-14,1073,MISSISSIPPI AVE,15216,63200,30800,Taxable,Regular,Residential,SINGLE FAMILY,7035
0097J00038000000,97-J-38,1060,MISSISSIPPI AVE,15216,68000,39800,Taxable,Regular,Residential,SINGLE FAMILY,12430
0097J00064000000,97-J-64,108,MORTON LN,15226,33000,20000,Taxable,Regular,Residential,SINGLE FAMILY,9230
0097K00010000000,97-K-10,1019,MCNEILLY RD,15226,52600,32400,Taxable,Regular,Residential,SINGLE FAMILY,6650
0097J00180000000,97-J-180,0,MORDEN DR,15216,0,33000,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,14645
0097J00185000000,97-J-185,0,MORDEN DR,15216,0,20900,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,9300
0097K00004000000,97-K-4,1031,MCNEILLY RD,15226,74900,32600,Taxable,Regular,Residential,SINGLE FAMILY,7163
0097K00016000000,97-K-16,1007,MCNEILLY RD,15226,58000,23000,Taxable,Regular,Residential,SINGLE FAMILY,6245
0097J00060000000,97-J-60,104,MORTON LN,15226,41500,36000,Taxable,Regular,Residential,SINGLE FAMILY,6440
0097J00016000000,97-J-16,1069,MISSISSIPPI AVE,15216,77100,30700,Taxable,Regular,Residential,SINGLE FAMILY,6849
0097J00175000000,97-J-175,0,MORDEN DR,15216,0,13700,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,6098
0097J00046000000,97-J-46,930,ILLINOIS AVE,15216,81100,30400,Taxable,Corporation,Residential,SINGLE FAMILY,10254
0097J00062000000,97-J-62,106,MORTON LN,15226,55700,35700,Taxable,Regular,Residential,SINGLE FAMILY,5845
0097J00028000000,97-J-28,0,MISSISSIPPI AVE,15216,0,297700,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,49615
0097J00076000000,97-J-76,1039,MCNEILLY RD,15226,36900,21000,Taxable,Regular,Residential,SINGLE FAMILY,7000
0097K00008000000,97-K-8,1023,MCNEILLY RD,15226,61300,32400,Taxable,Regular,Residential,SINGLE FAMILY,6650
0097K00014000000,97-K-14,1011,MCNEILLY RD,15226,44000,32000,Taxable,Regular,Residential,SINGLE FAMILY,6650
0097J00056000000,97-J-56,0,MORTON LN,15226,0,36200,Taxable,Regular,Residential,VACANT LAND,7144
0097J00078000000,97-J-78,1037,MCNEILLY RD,15226,42300,29600,Taxable,Regular,Residential,SINGLE FAMILY,7000
0097J00080000000,97-J-80,1035,MCNEILLY RD,15226,54500,32500,Taxable,Regular,Residential,SINGLE FAMILY,6956
0097J00090000000,97-J-90,0,ELWYN RD,15243,0,2800,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,47045
0097K00012000000,97-K-12,1015,MCNEILLY RD,15226,67100,32400,Taxable,Regular,Residential,SINGLE FAMILY,6650
0097J00048000000,97-J-48,930,ILLINOIS AVE,15216,0,29400,Taxable,Regular,Residential,VACANT LAND,8232
0097J00054000000,97-J-54,989,MCNEILLY RD,15226,55600,36200,Taxable,Regular,Residential,SINGLE FAMILY,13049
0097J00070000000,97-J-70,105,MORTON LN,15226,36100,39000,Taxable,Regular,Residential,SINGLE FAMILY,11500
0097K00006000000,97-K-6,1027,MCNEILLY RD,15226,53200,22400,Taxable,Regular,Residential,SINGLE FAMILY,6650
0097K00200000000,97-K-200,0,ELWYN RD,15243,0,14300,Exempt,Corporation,Other,OWNED BY BOARD OF EDUCATION,6350
0097N00060000000,97-N-60,862,BRIDGEWATER DR,15216,75900,30800,Taxable,Regular,Residential,SINGLE FAMILY,7169
0097N00065000000,97-N-65,0,LOVINGSTON DR,15216,2400,900,Provisionally Exempt,Corporation,Utilities,COMMERCIAL/UTILITY,400
0097N00136000000,97-N-136,828,LOVINGSTON DR,15216,109100,31000,Taxable,Regular,Residential,SINGLE FAMILY,7749
0097L00170000000,97-L-170,0,DORCHESTER AVE,15226,14400000,2600000,Taxable,Corporation,Commercial,INDEPENDENT LIVING (SENIORS),925432
0097L00193000000,97-L-193,994,DORCHESTER AVE,15226,29200,35800,Taxable,Regular,Residential,SINGLE FAMILY,6000
0097N00132000000,97-N-132,859,BRIDGEWATER DR,15216,147200,38300,Taxable,Regular,Residential,SINGLE FAMILY,10586
0097N00129000000,97-N-129,855,BRIDGEWATER DR,15216,105300,39900,Taxable,Regular,Residential,SINGLE FAMILY,12653
0097N00120000000,97-N-120,1000,KELTON AVE,15216,25046800,1579900,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,700488
0097N00058000000,97-N-58,866,BRIDGEWATER DR,15216,104000,30800,Taxable,Regular,Residential,SINGLE FAMILY,7169
0097N00134000000,97-N-134,832,LOVINGSTON DR,15216,84600,30900,Taxable,Regular,Residential,SINGLE FAMILY,7440
0097N00018000000,97-N-18,849,LOVINGSTON DR,15216,110300,36400,Taxable,Regular,Residential,SINGLE FAMILY,7508
0097N00024000000,97-N-24,857,LOVINGSTON DR,15216,133700,36400,Taxable,Regular,Residential,SINGLE FAMILY,7626
0097N00044000000,97-N-44,848,LOVINGSTON DR,15216,96400,38300,Taxable,Regular,Residential,SINGLE FAMILY,12426
0097N00028000000,97-N-28,861,LOVINGSTON DR,15216,110500,39400,Taxable,Regular,Residential,SINGLE FAMILY,11954
0097N00004000000,97-N-4,149,SLEEPY HOLLOW RD,15216,87100,30700,Taxable,Regular,Residential,SINGLE FAMILY,6832
0097N00020000000,97-N-20,853,LOVINGSTON DR,15216,108600,36400,Taxable,Regular,Residential,SINGLE FAMILY,7626
0097N00040000000,97-N-40,856,LOVINGSTON DR,15216,98900,38200,Taxable,Regular,Residential,SINGLE FAMILY,10494
0097L00192000000,97-L-192,992,DORCHESTER AVE,15226,42100,25900,Taxable,Regular,Residential,SINGLE FAMILY,6369
0097N00056000000,97-N-56,870,BRIDGEWATER DR,15216,95100,29900,Taxable,Regular,Residential,SINGLE FAMILY,8994
0097L00194000000,97-L-194,996,DORCHESTER AVE,15226,65100,35800,Taxable,Regular,Residential,SINGLE FAMILY,6000
0097N00010000000,97-N-10,886,BRIDGEWATER DR,15216,73200,31400,Taxable,Regular,Residential,SINGLE FAMILY,8884
0097N00016000000,97-N-16,845,LOVINGSTON DR,15216,95100,37100,Taxable,Regular,Residential,SINGLE FAMILY,9073
0097L00198000000,97-L-198,998,DORCHESTER AVE,15226,63500,30300,Taxable,Regular,Residential,SINGLE FAMILY,5640
0097N00006000000,97-N-6,153,SLEEPY HOLLOW RD,15216,81300,30700,Taxable,Regular,Residential,SINGLE FAMILY,6949
0097N00034000000,97-N-34,873,LOVINGSTON DR,15216,105100,36400,Taxable,Regular,Residential,SINGLE FAMILY,7560
0097N00008000000,97-N-8,157,SLEEPY HOLLOW RD,15216,102600,32500,Taxable,Regular,Residential,SINGLE FAMILY,10486
0097N00048000000,97-N-48,838,LOVINGSTON DR,15216,216600,39400,Taxable,Regular,Residential,SINGLE FAMILY,12000
0097N00042000000,97-N-42,852,LOVINGSTON DR,15216,120100,38600,Taxable,Regular,Residential,SINGLE FAMILY,10954
0097N00012000000,97-N-12,882,BRIDGEWATER DR,15216,101800,31500,Taxable,Regular,Residential,SINGLE FAMILY,9113
0097N00045000000,97-N-45,844,LOVINGSTON DR,15216,90400,38300,Taxable,Corporation,Residential,SINGLE FAMILY,10593
0097N00014000000,97-N-14,878,BRIDGEWATER DR,15216,93300,31300,Taxable,Regular,Residential,SINGLE FAMILY,8721
0097N00030000000,97-N-30,865,LOVINGSTON DR,15216,114200,37600,Taxable,Regular,Residential,SINGLE FAMILY,9779
0097N00050000000,97-N-50,840,LOVINGSTON DR,15216,177300,38600,Taxable,Regular,Residential,SINGLE FAMILY,11000
0097N00032000000,97-N-32,869,LOVINGSTON DR,15216,68500,37400,Taxable,Regular,Residential,SINGLE FAMILY,9520
0097N00038000000,97-N-38,860,LOVINGSTON DR,15216,107800,37800,Taxable,Regular,Residential,SINGLE FAMILY,9990
0097N00052000000,97-N-52,0,LOVINGSTON DR,15216,0,35400,Taxable,Corporation,Residential,VACANT LAND,12000
0097N00138000000,97-N-138,824,LOVINGSTON DR,15216,331600,41700,Taxable,Regular,Residential,SINGLE FAMILY,14810
0097N00142000000,97-N-142,833,LOVINGSTON DR,15216,120500,36500,Taxable,Regular,Residential,SINGLE FAMILY,7795
0097P00060000000,97-P-60,975,MCCORMICKS LN,15228,76800,35700,Taxable,Regular,Residential,SINGLE FAMILY,18469
0097P00094000000,97-P-94,965,MCNEILLY RD,15226,68200,24000,Taxable,Regular,Residential,SINGLE FAMILY,6116
0097P00106000000,97-P-106,932,MCNEILLY RD,15226,32700,28300,Taxable,Regular,Residential,SINGLE FAMILY,8276
0097N00156000000,97-N-156,883,BRIDGEWATER DR,15216,111200,37900,Taxable,Regular,Residential,SINGLE FAMILY,10112
0097N00144000000,97-N-144,837,LOVINGSTON DR,15216,114700,36500,Taxable,Regular,Residential,SINGLE FAMILY,7902
0097N00160000000,97-N-160,887,BRIDGEWATER DR,15216,119000,29300,Taxable,Regular,Residential,SINGLE FAMILY,8160
0097P00035000000,97-P-35,0,ELWYN RD,15243,0,225600,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,100275
0097N00152000000,97-N-152,875,BRIDGEWATER DR,15216,101600,37800,Taxable,Regular,Residential,SINGLE FAMILY,9936
0097P00080000000,97-P-80,965,MCNEILLY RD,15226,37000,20000,Taxable,Regular,Residential,SINGLE FAMILY,153985
0097P00125000000,97-P-125,0,ELWYN RD,15243,0,60100,Exempt,Corporation,Other,CHARITABLE EXEMPTION/HOS/HOMES,26702
0097N00150000000,97-N-150,871,BRIDGEWATER DR,15216,114600,38200,Taxable,Regular,Residential,SINGLE FAMILY,10522
0097P00110000000,97-P-110,936,MCNIELLY RD,15243,52200,26600,Taxable,Regular,Residential,SINGLE FAMILY,8916
0097P00175000000,97-P-175,0,ELWYN RD,15243,4247100,2089500,Exempt,Corporation,Other,OWNED BY COLLEGE/UNIV/ACADEMY,1163749
0097P00090000000,97-P-90,0,ELWYN RD,15243,0,85500,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,38000
0097P00092000000,97-P-92,971,MCNEILLY RD,15226,76900,32200,Taxable,Regular,Residential,SINGLE FAMILY,6103
0097P00098000000,97-P-98,961,MCNEILLY RD,15226,53900,32300,Taxable,Regular,Residential,SINGLE FAMILY,6300
0097N00146000000,97-N-146,841,LOVINGSTON DR,15216,123300,40400,Taxable,Regular,Residential,SINGLE FAMILY,13204
0097N00148000000,97-N-148,867,BRIDGEWATER DR,15216,113700,39900,Taxable,Regular,Agricultural,SINGLE FAMILY,12587
0097N00154000000,97-N-154,879,BRIDGEWATER DR,15216,81200,38400,Taxable,Regular,Residential,SINGLE FAMILY,10732
0097N00175000000,97-N-175,824,LOVINGSTON DR,15216,0,34100,Taxable,Regular,Residential,VACANT LAND,158863
0097P00025000000,97-P-25,0,MISSISSIPPI AVE,15216,0,852700,Exempt,Corporation,Government,OWNED BY BOARD OF EDUCATION,378972
0097P00096000000,97-P-96,959,MCNEILLY RD,15243,83200,32500,Taxable,Regular,Residential,SINGLE FAMILY,6801
0098A00248000000,98-A-248,216,DAN DR,15216,101600,47700,Taxable,Regular,Residential,SINGLE FAMILY,6750
0098A00254000000,98-A-254,228,DAN DR,15216,103800,47700,Taxable,Regular,Residential,SINGLE FAMILY,6750
0098A00260000000,98-A-260,238,DAN DR,15216,115900,47700,Taxable,Regular,Residential,SINGLE FAMILY,6750
0098A00266000000,98-A-266,512,N MEADOWCROFT AVE,15216,100500,42100,Taxable,Regular,Residential,SINGLE FAMILY,4950
0098A00252000000,98-A-252,222,DAN DR,15216,78600,47700,Taxable,Regular,Residential,SINGLE FAMILY,6750
0098A00282000000,98-A-282,223,DAN DR,15216,113800,47700,Taxable,Regular,Residential,SINGLE FAMILY,6750
0098A00289000000,98-A-289,101,DAN DR,15216,127400,47500,Taxable,Regular,Residential,SINGLE FAMILY,6375
0098A00258000000,98-A-258,234,DAN DR,15216,80000,45000,Taxable,Regular,Residential,SINGLE FAMILY,6750
0098A00288000000,98-A-288,217,DAN DR,15216,102800,46900,Taxable,Regular,Residential,SINGLE FAMILY,5428
0098A00322000000,98-A-322,236,PARKER DR,15216,192300,67700,Taxable,Regular,Residential,SINGLE FAMILY,20250
0098A00240000000,98-A-240,111,NEWBURN DR,15216,143200,59000,Taxable,Regular,Residential,SINGLE FAMILY,14634
0098A00268000000,98-A-268,514,N MEADOWCROFT AVE,15216,86600,42100,Taxable,Regular,Residential,SINGLE FAMILY,4950
0098A00274000000,98-A-274,241,DAN DR,15216,93700,47300,Taxable,Regular,Residential,SINGLE FAMILY,6000
0098A00298000000,98-A-298,132,BEVERLY RD,15216,120000,30000,Taxable,Regular,Residential,SINGLE FAMILY,6600
0098A00308000000,98-A-308,210,PARKER DR,15216,133000,47100,Taxable,Regular,Residential,SINGLE FAMILY,5673
0098A00314000000,98-A-314,224,PARKER DR,15216,67300,49700,Taxable,Regular,Residential,SINGLE FAMILY,8676
0098A00330000000,98-A-330,227,PARKER DR,15216,116600,47500,Taxable,Regular,Residential,SINGLE FAMILY,6300
0098A00350000000,98-A-350,449,LAYTON AVE,15216,74800,29500,Taxable,Regular,Residential,SINGLE FAMILY,4874
0098A00356000000,98-A-356,115,PARKER DR,15216,94000,29500,Taxable,Regular,Residential,SINGLE FAMILY,4874
0098A00250000000,98-A-250,218,DAN DR,15216,97100,47700,Taxable,Regular,Residential,SINGLE FAMILY,6750
0098A00276000000,98-A-276,237,DAN DR,15216,92800,47300,Taxable,Regular,Residential,SINGLE FAMILY,6000
0098A00278000000,98-A-278,233,DAN DR,15216,112500,47300,Taxable,Regular,Residential,SINGLE FAMILY,6000
0098A00280000000,98-A-280,225,DAN DR,15216,106700,47700,Taxable,Regular,Residential,SINGLE FAMILY,6750
0098A00372000000,98-A-372,0,BEVERLY RD,15216,0,10000,Taxable,Corporation,Commercial,APART: 5-19 UNITS,3625
0098A00378000000,98-A-378,1621,MCFARLAND RD,15216,73600,46400,Taxable,Regular,Commercial,AUTO SERV STATION,9630
0098A00300000000,98-A-300,136,BEVERLY RD,15216,55000,40000,Taxable,Regular,Residential,SINGLE FAMILY,7879
0098A00334000000,98-A-334,215,PARKER DR,15216,130200,41200,Taxable,Regular,Residential,SINGLE FAMILY,10985
0098A00348000000,98-A-348,443,LAYTON AVE,15216,86000,29500,Taxable,Regular,Residential,SINGLE FAMILY,4874
0098A00270000000,98-A-270,518,N MEADOWCROFT AVE,15216,98800,46700,Taxable,Regular,Residential,SINGLE FAMILY,4950
0098A00284000000,98-A-284,221,DAN DR,15216,140400,46900,Taxable,Regular,Residential,SINGLE FAMILY,5427
0098A00316000000,98-A-316,230,PARKER DR,15216,97700,47700,Taxable,Regular,Residential,SINGLE FAMILY,6750
0098A00332000000,98-A-332,221,PARKER DR,15216,101600,47200,Taxable,Regular,Residential,SINGLE FAMILY,5860
0098A00290000000,98-A-290,105,NEWBURN DR,15216,126900,47300,Taxable,Regular,Residential,TWO FAMILY,6059
0098A00170000000,98-A-170,110,BEVERLY RD,15216,195400,224900,Taxable,Corporation,Commercial,"RESTAURANT, CAFET AND/OR BAR",17076
0098A00192000000,98-A-192,191,MORRISON DR,15216,221300,39300,Taxable,Corporation,Commercial,APART: 5-19 UNITS,5278
0098A00183000000,98-A-183,114,NEWBURN DR,15216,87500,47500,Taxable,Regular,Residential,SINGLE FAMILY,6296
0098A00206000000,98-A-206,204,MORRISON DR,15216,62800,48200,Taxable,Regular,Residential,SINGLE FAMILY,7525
0098A00214000000,98-A-214,220,MORRISON DR,15216,105800,40200,Taxable,Regular,Residential,SINGLE FAMILY,6000
0098A00222000000,98-A-222,223,MORRISON DR,15216,99100,47200,Taxable,Regular,Residential,SINGLE FAMILY,5900
0098A00230000000,98-A-230,211,MORRISON DR,15216,93100,47200,Taxable,Regular,Residential,SINGLE FAMILY,5900
0098A00262000000,98-A-262,242,DAN DR,15216,67200,47800,Taxable,Regular,Residential,SINGLE FAMILY,6834
0098A00324000000,98-A-324,244,PARKER DR,15216,96400,47300,Taxable,Regular,Residential,SINGLE FAMILY,6000
0098A00344000000,98-A-344,112,ARDEN RD,15216,88200,30400,Taxable,Regular,Residential,SINGLE FAMILY,5662
0098A00360000000,98-A-360,110,PARKER DR,15216,164900,30100,Taxable,Regular,Commercial,APART: 5-19 UNITS,6450
0098A00186000000,98-A-186,120,NEWBURN DR,15216,87900,47100,Taxable,Regular,Residential,SINGLE FAMILY,5685
0098A00204000000,98-A-204,211,NEWBURN DR,15216,78800,47200,Taxable,Regular,Residential,SINGLE FAMILY,5832
0098A00220000000,98-A-220,231,MORRISON DR,15216,123900,47200,Taxable,Regular,Residential,SINGLE FAMILY,5900
0098A00184000000,98-A-184,116,NEWBURN DR,15216,62000,20000,Taxable,Regular,Residential,SINGLE FAMILY,7864
0098A00200000000,98-A-200,223,NEWBURN DR,15216,106100,47200,Taxable,Regular,Residential,SINGLE FAMILY,5832
0098A00228000000,98-A-228,215,MORRISON DR,15216,161100,47200,Taxable,Regular,Residential,SINGLE FAMILY,5900
0098A00304000000,98-A-304,148,BEVERLY RD,15216,94700,41100,Taxable,Regular,Residential,SINGLE FAMILY,7684
0098A00188000000,98-A-188,124,NEWBURN DR,15216,96600,49600,Taxable,Regular,Residential,TWO FAMILY,8594
0098A00296000000,98-A-296,99,NEWBURN DR,15216,103500,41000,Taxable,Regular,Residential,SINGLE FAMILY,7500
0098A00196000000,98-A-196,235,NEWBURN DR,15216,103000,41200,Taxable,Regular,Residential,SINGLE FAMILY,6708
0098A00342000000,98-A-342,118,ARDEN RD,15216,89000,30000,Taxable,Regular,Residential,SINGLE FAMILY,5120
0098A00371000000,98-A-371,135,BEVERLY RD,15216,87600,30500,Taxable,Regular,Residential,TWO FAMILY,5748
0098A00180000000,98-A-180,110,NEWBURN DR,15216,217700,28800,Taxable,Corporation,Commercial,APART: 5-19 UNITS,6820
0098A00226000000,98-A-226,219,MORRISON DR,15216,97200,47200,Taxable,Regular,Residential,SINGLE FAMILY,5900
0098A00234000000,98-A-234,121,MORRISON DR,15216,95800,49200,Taxable,Regular,Residential,TWO FAMILY,8333
0098A00352000000,98-A-352,451,LAYTON AVE,15216,73300,25100,Taxable,Regular,Residential,SINGLE FAMILY,4874
0098A00160000000,98-A-160,1635,MCFARLAND RD,15216,551000,227000,Taxable,Corporation,Commercial,DAYCARE/PRIVATE SCHOOL,17250
0098A00390000000,98-A-390,0,MCFARLAND RD,15216,0,300,Taxable,Regular,Residential,VACANT LAND,450
0098A00354000000,98-A-354,457,LAYTON AVE,15216,54700,25100,Taxable,Regular,Residential,SINGLE FAMILY,4874
0098A00369000000,98-A-369,139,BEVERLY RD,15216,51300,30300,Taxable,Regular,Residential,SINGLE FAMILY,5403
0098A00372000100,98-A-372-1,121,BEVERLY RD,15216,281200,83800,Taxable,Corporation,Commercial,APART: 5-19 UNITS,16609
0098A00384000000,98-A-384,100,PARKER DR,15216,116100,47700,Taxable,Regular,Commercial,OFFICE - 1-2 STORIES,6281
0098A00393000000,98-A-393,1545,MCFARLAND RD,15216,106500,21000,Taxable,Regular,Residential,SINGLE FAMILY,6440
0098B00010000000,98-B-10,1531,MCFARLAND RD,15216,99900,27100,Taxable,Regular,Residential,TWO FAMILY,5200
0098A00302000000,98-A-302,142,BEVERLY RD,15216,102300,40800,Taxable,Regular,Residential,SINGLE FAMILY,7292
0098A00310000000,98-A-310,214,PARKER DR,15216,103100,55500,Taxable,Regular,Residential,SINGLE FAMILY,12388
0098A00388000000,98-A-388,1549,MCFARLAND RD,15216,115500,30600,Taxable,Regular,Residential,TWO FAMILY,5850
0098A00380000000,98-A-380,1575,MCFARLAND RD,15216,345200,68800,Taxable,Corporation,Commercial,OFFICE - 1-2 STORIES,9800
0098A00386000000,98-A-386,1559,MCFARLAND RD,15216,219400,80600,Taxable,Regular,Commercial,APART: 5-19 UNITS,11764
0098A00212000000,98-A-212,216,MORRISON DR,15216,138900,47300,Taxable,Regular,Residential,SINGLE FAMILY,6000
0098A00224000000,98-A-224,221,MORRISON DR,15216,78200,47200,Taxable,Regular,Residential,SINGLE FAMILY,5900
0098A00326000000,98-A-326,250,PARKER DR,15216,194700,48000,Exempt,Corporation,Residential,SINGLE FAMILY,7200
0098A00362000000,98-A-362,114,PARKER DR,15216,153700,41300,Taxable,Regular,Commercial,APART: 5-19 UNITS,5980
0098A00367000000,98-A-367,143,BEVERLY RD,15216,57300,31400,Taxable,Regular,Residential,SINGLE FAMILY,7324
0098A00382000000,98-A-382,1569,MCFARLAND RD,15216,131800,49500,Taxable,Corporation,Commercial,SMALL DETACHED RET(UNDER 10000,4898
0098A00395000000,98-A-395,1541,MCFARLAND RD,15216,52300,27700,Taxable,Regular,Residential,TWO FAMILY,6300
0098A00210000000,98-A-210,214,MORRISON DR,15216,73100,51900,Taxable,Regular,Residential,SINGLE FAMILY,15966
0098A00238000000,98-A-238,115,NEWBURN DR,15216,178200,46800,Taxable,Regular,Residential,SINGLE FAMILY,5175
0098B00012000000,98-B-12,1537,MCFARLAND RD,15216,55600,30200,Taxable,Regular,Residential,SINGLE FAMILY,5200
0098A00195000000,98-A-195,239,NEWBURN DR,15216,112400,47300,Taxable,Regular,Residential,SINGLE FAMILY,6000
0098A00216000000,98-A-216,224,MORRISON DR,15216,115500,47300,Taxable,Regular,Residential,SINGLE FAMILY,6000
0098A00232000000,98-A-232,205,MORRISON DR,15216,103100,47200,Taxable,Regular,Residential,SINGLE FAMILY,5900
0098A00256000000,98-A-256,230,DAN DR,15216,133900,47700,Taxable,Regular,Residential,SINGLE FAMILY,6750
0098A00272000000,98-A-272,245,DAN DR,15216,94900,47300,Taxable,Regular,Residential,SINGLE FAMILY,6000
0098A00286000000,98-A-286,219,DAN DR,15216,107100,46900,Taxable,Regular,Residential,SINGLE FAMILY,5428
0098A00312000000,98-A-312,222,PARKER DR,15216,82700,49300,Taxable,Regular,Residential,SINGLE FAMILY,8418
0098A00340000000,98-A-340,122,ARDEN RD,15216,77700,30200,Taxable,Regular,Residential,SINGLE FAMILY,5280
0098A00168000000,98-A-168,0,BEVERLY RD,15216,6200,104600,Taxable,Corporation,Commercial,SMALL DETACHED RET(UNDER 10000,8296
0098A00174000000,98-A-174,100 -108,NEWBURN DR,15216,498800,101200,Taxable,Corporation,Commercial,APART:20-39 UNITS,16112
0098A00198000000,98-A-198,231,NEWBURN DR,15216,129900,47200,Taxable,Regular,Residential,SINGLE FAMILY,5832
0098A00202000000,98-A-202,221,NEWBURN DR,15216,129000,50000,Taxable,Regular,Residential,SINGLE FAMILY,5832
0098A00391000000,98-A-391,1547,MCFARLAND RD,15216,87000,30700,Taxable,Regular,Residential,TWO FAMILY,6160
0098E00014000000,98-E-14,241,PARKER DR,15216,102000,47300,Taxable,Regular,Residential,SINGLE FAMILY,6000
0098E00006000000,98-E-6,251,PARKER DR,15216,125500,47900,Taxable,Regular,Residential,SINGLE FAMILY,7080
