PIN,MAPBLOCKLO,PROPERTYHO,PROPERTY_1,PROPERTYZI,FAIRMARKET,FAIRMARK_1,TAXDESC,OWNERDESC,STATEDESC,USEDESC,LOTAREA
0252H00259000000,252-H-259,96,STANDISH BLVD,15228,102100,59500,Taxable,Regular,Residential,SINGLE FAMILY,8443
0252H00265000000,252-H-265,89,STANDISH BLVD,15228,228100,70500,Taxable,Regular,Residential,SINGLE FAMILY,9120
0141S00340000000,141-S-340,344,BIRCH AVE,15228,108100,35700,Taxable,Regular,Residential,SINGLE FAMILY,5750
0252H00240000000,252-H-240,66,STANDISH BLVD,15228,218600,77100,Taxable,Regular,Residential,SINGLE FAMILY,14735
0252H00257000000,252-H-257,90,STANDISH BLVD,15228,290000,70400,Taxable,Regular,Residential,SINGLE FAMILY,9000
0252H00120000000,252-H-120,129,SEMINOLE DR,15228,190200,68800,Taxable,Regular,Residential,SINGLE FAMILY,6702
0252H00140000000,252-H-140,124,MOHAWK DR,15228,35400,68100,Taxable,Regular,Residential,SINGLE FAMILY,5618
0252H00198000000,252-H-198,26,NAKOMA DR,15228,210200,70600,Taxable,Regular,Residential,SINGLE FAMILY,9250
0252H00220000000,252-H-220,1,NAKOMA DR,15228,109500,50000,Taxable,Regular,Residential,SINGLE FAMILY,8443
0142C00066000000,142-C-66,669,BOWER HILL RD,15243,86400,30600,Taxable,Regular,Residential,SINGLE FAMILY,11690
0142C00096000000,142-C-96,454,SERPENTINE DR,15243,86300,26000,Taxable,Regular,Residential,SINGLE FAMILY,6000
0142C00106000000,142-C-106,465,SERPENTINE DR,15243,60100,17000,Taxable,Regular,Residential,ROWHOUSE,4250
0142C00114000000,142-C-114,325,ALTOONA PL,15228,61800,22100,Taxable,Regular,Residential,ROWHOUSE,3000
0142C00190000000,142-C-190,420,SERRANO AVE,15243,163600,26400,Taxable,Regular,Residential,SINGLE FAMILY,6663
0252K00008000000,252-K-8,315,INGLEWOOD DR,15228,166600,31300,Taxable,Regular,Residential,SINGLE FAMILY,10800
0252K00011000000,252-K-11,321,INGLEWOOD DR,15228,236900,51900,Taxable,Regular,Residential,SINGLE FAMILY,50094
0252K00019000000,252-K-19,339,INGLEWOOD DR,15228,217200,41100,Taxable,Regular,Residential,SINGLE FAMILY,16200
0142D00132000000,142-D-132,206,ALTOONA PL,15228,68500,29300,Taxable,Regular,Residential,SINGLE FAMILY,4726
0142D00136000000,142-D-136,211,ALTOONA PL,15228,60200,30500,Taxable,Regular,Residential,SINGLE FAMILY,5681
0142D00138000000,142-D-138,217,ALTOONA PL,15228,93100,30200,Taxable,Regular,Residential,SINGLE FAMILY,5279
0142D00158000000,142-D-158,494,MARIETTA PL,15228,59500,26200,Taxable,Regular,Residential,ROWHOUSE,3097
0142D00164000000,142-D-164,480 -484,MARIETTA PL,15228,88700,30000,Taxable,Regular,Residential,ROWHOUSE,5500
0142D00188000000,142-D-188,328,COCHRAN RD,15228,921200,529500,Taxable,Regular,Commercial,SMALL DETACHED RET(UNDER 10000,48763
0142D00236000000,142-D-236,321,ALTOONA PL,15228,57100,27800,Taxable,Corporation,Residential,ROWHOUSE,3954
0252K00015000000,252-K-15,325,INGLEWOOD DR,15228,214400,41100,Taxable,Regular,Residential,SINGLE FAMILY,16200
0142D00146000000,142-D-146,487,MARIETTA PL,15228,125000,31200,Taxable,Regular,Residential,ROWHOUSE,6982
0142D00162000000,142-D-162,486,MARIETTA PL,15228,69700,30700,Taxable,Regular,Residential,ROWHOUSE,6120
0142D00140000000,142-D-140,219,ALTOONA PL,15228,84100,30300,Taxable,Regular,Residential,SINGLE FAMILY,5445
0142D00204000000,142-D-204,509,SERPENTINE DR,15243,49000,14100,Taxable,Regular,Residential,ROWHOUSE,4188
0142D00246000000,142-D-246,454,SERRANO AVE,15243,78800,30500,Taxable,Regular,Residential,SINGLE FAMILY,5701
0142D00268000000,142-D-268,440,COCHRAN RD,15228,739600,162300,Taxable,Corporation,Commercial,APART:20-39 UNITS,23715
0142D00142000000,142-D-142,485,MARIETTA PL,15228,155600,29400,Taxable,Regular,Residential,TWO FAMILY,4808
0142D00157000000,142-D-157,496,MARIETTA PL,15228,66900,26400,Taxable,Regular,Residential,ROWHOUSE,3218
0142D00224000000,142-D-224,339,COCHRAN RD,15228,87400,188500,Taxable,Corporation,Commercial,AUTO SERV STATION,14040
0142D00244000000,142-D-244,450,SERRANO AVE,15243,68100,30400,Taxable,Regular,Residential,SINGLE FAMILY,5650
0142D00260000000,142-D-260,0,COCHRAN RD,15228,3800,27400,Taxable,Corporation,Commercial,SMALL DETACHED RET(UNDER 10000,4567
0142D00130000000,142-D-130,210,ALTOONA PL,15228,98200,25800,Taxable,Regular,Residential,SINGLE FAMILY,4626
0142D00150000000,142-D-150,493,MARIETTA PL,15228,63800,27800,Taxable,Regular,Residential,ROWHOUSE,3941
0142D00156000000,142-D-156,498,MARIETTA PL,15228,46050,29700,Taxable,Regular,Residential,SINGLE FAMILY,4951
