BasicInfo1_lblParcelIDText,Parcel_ID
BasicInfo1_lblMuniText,Municipality
BasicInfo1_lblAddressText,Property_Address
Label19,Use_Code
Label29,Total_Rooms
Label25,Basement
Label2,Style
Label30,Bedrooms
Label4,Grade
Label28,Stories
Label31,Full_Baths
Label22,Condition
Label27,Year_Built
Label32,Half_Baths
Label5,Fireplaces
Label20,Exterior_Finish
Label23,Heating
Label33,Garage
Label21,Roof_Type
Label24,Cooling
Label26,Living_Area
