Parcel_ID|Municipality|Property_Address|School_District|Neighborhood_Code|Tax_Code|Recording_Date|Owner_Code|Sale_Price|State_Code|Deed_Book|Use_Code|Deed_Page|Homestead|Abatement|Farmstead|Lot_Area|Land_Value_2012_Mkt|Land_Value_2012_Cty|Building_Value_2012_Mkt|Building_Value_2012_Cty|Total_Value_2012_Mkt|Total_Value_2012_Cty
0063-E-00362-0000-00|926 MT. LEBANON|925 N MEADOWCROFT AVE|Mt Lebanon|92612|Taxable|2/9/2006|Regular|140000|Residential|12744|SINGLE FAMILY|177|Yes|No|No|6,500 SQFT|47600|47600|87100|72100|134700|119700
0063-J-00010-0000-00|926 MT. LEBANON|1775 HELEN DR|Mt Lebanon|92612|Taxable|11/8/2006|Regular|1|Residential|13052|SINGLE FAMILY|331|Yes|No|No|17,936 SQFT|61100|61100|171600|156600|232700|217700
0063-J-00012-0000-00|926 MT. LEBANON|1771 HELEN DR|Mt Lebanon|92612|Taxable|3/28/2000|Regular|10|Residential|10723|SINGLE FAMILY|563|Yes|No|No|10,153 SQFT|52000|52000|198000|183000|250000|235000
0063-J-00014-0000-00|926 MT. LEBANON|1767 HELEN DR|Mt Lebanon|92612|Taxable|6/25/1962|Regular|0|Residential||SINGLE FAMILY|0|Yes|No|No|9,600 SQFT|51200|51200|182500|167500|233700|218700
0063-J-00016-0000-00|926 MT. LEBANON|1763 HELEN DR|Mt Lebanon|92612|Taxable|3/3/2010|Regular|310000|Residential|14192|SINGLE FAMILY|353|Yes|No|No|10,800 SQFT|53000|53000|188900|173900|241900|226900
0063-J-00018-0000-00|926 MT. LEBANON|1759 HELEN DR|Mt Lebanon|92612|Taxable|11/5/2003|Regular|1|Residential|11846|SINGLE FAMILY|325|Yes|No|No|10,800 SQFT|53000|53000|166300|151300|219300|204300
0063-J-00020-0000-00|926 MT. LEBANON|1715 HOLLY LN|Mt Lebanon|92612|Taxable|3/2/1992|Regular|105000|Residential|8664|SINGLE FAMILY|517|Yes|No|No|8,586 SQFT|49600|49600|130700|115700|180300|165300
0063-J-00026-0000-00|926 MT. LEBANON|111 MORRISON DR|Mt Lebanon|92612|Taxable|9/25/1991|Regular|158000|Residential|8571|SINGLE FAMILY|508|Yes|No|No|13,370 SQFT|57000|57000|125500|110500|182500|167500
0063-J-00028-0000-00|926 MT. LEBANON|107 MORRISON DR|Mt Lebanon|92612|Taxable|12/9/2002|Regular|180000|Residential|11522|SINGLE FAMILY|606|Yes|No|No|11,078 SQFT|53400|53400|113000|98000|166400|151400
0063-J-00030-0000-00|926 MT. LEBANON|103 MORRISON DR|Mt Lebanon|92612|Taxable|8/21/1981|Regular|110000|Residential|6394|SINGLE FAMILY|305|Yes|No|No|14,078 SQFT|58100|58100|106400|91400|164500|149500
0063-J-00032-0000-00|926 MT. LEBANON|660 RIDGEFIELD AVE|Mt Lebanon|92612|Taxable|11/26/2003|Regular|310750|Residential|11871|SINGLE FAMILY|81|Yes|No|No|10,027 SQFT|51800|51800|152800|137800|204600|189600
0063-J-00034-0000-00|926 MT. LEBANON|118 MORRISON DR|Mt Lebanon|92612|Taxable|9/15/2009|Regular|230000|Residential|14041|SINGLE FAMILY|185|Yes|No|No|10,485 SQFT|44600|44600|115500|100500|160100|145100
0063-J-00036-0000-00|926 MT. LEBANON|122 MORRISON DR|Mt Lebanon|92612|Taxable|11/13/1986|Regular|92000|Residential|7431|SINGLE FAMILY|91|Yes|No|No|8,575 SQFT|42100|42100|112900|97900|155000|140000
0063-J-00038-0000-00|926 MT. LEBANON|126 MORRISON DR|Mt Lebanon|92612|Taxable|10/11/1983|Regular|95000|Residential|6745|SINGLE FAMILY|641|No|No|No|8,932 SQFT|42600|42600|114600|114600|157200|157200
